"","SPCD","COMMON_NAME","Scientific Name","SPGRPCD:E","SPGRPCD:W","MAJGRP","Occurrence:NC","Occurence:NE","Occurrence:PNW","Occurrence:RM","Occurrence:SO"
"1",10,"fir spp. ","Abies spp",6,12,2,"X","X","-","-","X"
"2",11,"Pacific silver fir","Abies amabilis",9,12,2,"-","-","X","-","-"
"3",12,"balsam fir ","Abies balsamea",6,12,2,"X","X","-","-","X"
"4",14,"Santa Lucia or bristlecone fir","Abies bracteata",9,12,2,"-","-","X","-","-"
"5",15,"white fir ","Abies concolor",9,12,2,"X","-","X","X","X"
"6",16,"Fraser fir","Abies fraseri",9,12,2,"X","X","-","-","X"
"7",17,"grand fir ","Abies grandis",9,12,2,"-","-","X","X","-"
"8",18,"corkbark fir","Abies lasiocarpa var. arizonica",9,12,2,"-","-","-","X","X"
"9",19,"subalpine fir","Abies lasiocarpa",9,12,2,"-","-","X","X","X"
"10",20,"California red fir","Abies magnifica",9,12,2,"-","-","X","X","-"
"11",21,"Shasta red fir","Abies shastensis",9,12,2,"-","-","X","X","-"
"12",22,"noble fir","Abies procera",9,12,2,"-","-","X","X","-"
"13",40,"white-cedar spp.","Chamaecyparis spp.",9,24,2,"-","X","X","-","-"
"14",41,"Port-Orford-cedar","Chamaecyparis lawsoniana",9,24,2,"-","-","X","-","-"
"15",42,"Alaska yellow-cedar","Chamaecyparis nootkatensis",9,24,2,"-","-","X","-","-"
"16",43,"Atlantic white-cedar","Chamaecyparis thyoides",9,24,2,"-","X","-","-","X"
"17",50,"cypress","Cupressus spp.",9,24,2,"-","-","X","-","-"
"18",51,"Arizona cypress","Cupressus arizonica",9,24,2,"-","-","X","X","X"
"19",52,"Baker or Modoc cypress","Cupressus bakeri",9,24,2,"-","-","X","-","-"
"20",53,"Tecate cypress","Cupressus forbesii",9,24,2,"-","-","X","-","-"
"21",54,"Monterey cypress","Cupressus macrocarpa",9,24,2,"-","-","X","-","-"
"22",55,"Sargent's cypress","Cupressus sargentii",9,24,2,"-","-","X","-","-"
"23",56,"MacNab's cypress","Cupressus macnabiana",9,24,2,"-","-","X","-","-"
"24",57,"redcedar/juniper spp.","Juniperus spp.",9,23,2,"X","X","-","-","X"
"25",58,"Pinchot juniper","Juniperus pinchotii",23,23,2,"-","-","-","X","X"
"26",59,"redberry juniper","Juniperus coahuilensis",23,23,2,"-","-","-","X","X"
"27",60,"drooping juniper","Juniperus flaccida",23,23,2,"-","-","-","-","X"
"28",61,"Ashe juniper","Juniperus ashei",23,23,2,"X","-","-","-","X"
"29",62,"California juniper","Juniperus californica",23,23,2,"-","-","X","X","-"
"30",63,"alligator juniper","Juniperus deppeana",23,23,2,"-","-","-","X","X"
"31",64,"western juniper","Juniperus occidentalis",9,24,2,"-","-","X","X","-"
"32",65,"Utah juniper","Juniperus osteosperma",23,23,2,"-","-","X","X","X"
"33",66,"Rocky Mountain juniper","Juniperus scopulorum",23,23,2,"X","-","X","X","X"
"34",67,"southern redcedar","Juniperus virginiana var. silicicola",9,24,2,"-","-","-","-","X"
"35",68,"eastern redcedar","Juniperus virginiana",9,24,2,"X","X","-","X","X"
"36",69,"oneseed juniper","Juniperus monosperma",23,23,2,"-","-","-","X","X"
"37",70,"larch spp.","Larix spp.",9,24,2,"X","X","-","-","-"
"38",71,"tamarack (native)","Larix laricina",9,24,2,"X","X","X","-","-"
"39",72,"subalpine larch","Larix lyallii",9,24,2,"-","-","X","X","-"
"40",73,"western larch","Larix occidentalis",9,19,2,"-","-","X","X","-"
"41",81,"incense-cedar","Calocedrus decurrens",9,20,2,"-","-","X","X","-"
"42",90,"spruce spp.","Picea spp.",6,18,2,"X","X","-","-","X"
"43",91,"Norway spruce","Picea abies",9,18,2,"X","X","-","-","X"
"44",92,"Brewer spruce","Picea breweriana",9,18,2,"-","-","X","-","-"
"45",93,"Engelmann spruce","Picea engelmannii",9,18,2,"X","-","X","X","X"
"46",94,"white spruce","Picea glauca",6,18,2,"X","X","X","X","X"
"47",95,"black spruce","Picea mariana",6,18,2,"X","X","X","-","X"
"48",96,"blue spruce","Picea pungens",9,18,2,"X","X","-","X","X"
"49",97,"red spruce","Picea rubens",6,18,2,"-","X","-","-","X"
"50",98,"Sitka spruce","Picea sitchensis",9,17,2,"-","-","X","-","-"
"51",100,"pine spp.","Pinus spp.",9,24,1,"X","X","X","-","X"
"52",101,"whitebark pine","Pinus albicaulis",9,24,1,"-","-","X","X","-"
"53",102,"Rocky Mountain bristlecone pine","Pinus aristata",9,24,1,"-","-","X","X","X"
"54",103,"knobcone pine","Pinus attenuata",9,24,1,"-","-","X","X","-"
"55",104,"foxtail pine","Pinus balfouriana",9,24,1,"-","-","X","X","-"
"56",105,"jack pine","Pinus banksiana",5,24,1,"X","X","-","-","-"
"57",106,"common or two-needle pinyon","Pinus edulis",23,23,1,"-","-","X","X","X"
"58",107,"sand pine","Pinus clausa",3,24,1,"-","-","-","-","X"
"59",108,"lodgepole pine","Pinus contorta",9,21,1,"X","-","X","X","-"
"60",109,"Coulter pine","Pinus coulteri",9,24,1,"-","-","X","-","-"
"61",110,"shortleaf pine","Pinus echinata",2,24,1,"X","X","-","-","X"
"62",111,"slash pine","Pinus elliottii",1,24,1,"-","-","-","-","X"
"63",112,"Apache pine","Pinus engelmannii",9,24,1,"-","-","-","X","-"
"64",113,"limber pine","Pinus flexilis",9,24,1,"X","-","X","X","X"
"65",114,"southwestern white pine","Pinus strobiformis",9,24,1,"-","-","-","X","X"
"66",115,"spruce pine","Pinus glabra",3,24,1,"-","-","-","-","X"
"67",116,"Jeffrey pine","Pinus jeffreyi",9,11,1,"-","-","X","X","-"
"68",117,"sugar pine","Pinus lambertiana",9,14,1,"-","-","X","X","-"
"69",118,"Chihuahuan pine","Pinus leiophylla",9,24,1,"-","-","-","X","X"
"70",119,"western white pine","Pinus monticola",9,15,1,"-","-","X","X","-"
"71",120,"bishop pine","Pinus muricata",9,24,1,"-","-","X","-","-"
"72",121,"longleaf pine","Pinus palustris",1,24,1,"-","-","-","-","X"
"73",122,"ponderosa pine","Pinus ponderosa",9,11,1,"X","-","X","X","X"
"74",123,"Table Mountain pine","Pinus pungens",3,24,1,"-","X","-","-","X"
"75",124,"Monterey pine","Pinus radiata",9,24,1,"-","-","X","-","-"
"76",125,"red pine","Pinus resinosa",4,24,1,"X","X","-","-","X"
"77",126,"pitch pine","Pinus rigida",3,24,1,"-","X","-","-","X"
"78",127,"gray or California foothill pine","Pinus sabiniana",9,24,1,"-","-","X","-","-"
"79",128,"pond pine","Pinus serotina",3,24,1,"-","X","-","-","X"
"80",129,"eastern white pine","Pinus strobus",4,24,1,"X","X","-","-","X"
"81",130,"Scotch pine","Pinus sylvestris",3,24,1,"X","X","X","X","X"
"82",131,"loblolly pine","Pinus taeda",2,24,1,"X","X","-","-","X"
"83",132,"Virginia pine","Pinus virginiana",3,24,1,"X","X","-","-","X"
"84",133,"singleleaf pinyon","Pinus monophylla",23,23,1,"-","-","X","X","X"
"85",134,"border pinyon","Pinus discolor",23,23,1,"-","-","-","X","X"
"86",135,"Arizona pine","Pinus arizonica",9,11,1,"-","-","-","X","X"
"87",136,"Austrian pine","Pinus nigra",9,24,1,"X","X","-","X","X"
"88",137,"Washoe pine","Pinus washoensis",9,24,1,"-","-","X","X","-"
"89",138,"four-leaf or Parry pinyon pine","Pinus quadrifolia",23,23,1,"-","-","X","-","-"
"90",139,"Torrey pine","Pinus torreyana",9,24,1,"-","-","X","-","-"
"91",140,"Mexican pinyon pine","Pinus cembroides",23,23,1,"-","-","-","X","X"
"92",141,"papershell pinyon pine","Pinus remota",23,23,1,"-","-","-","-","X"
"93",142,"Great Basin bristlecone pine","Pinus longaeva",9,24,1,"-","-","X","X","-"
"94",143,"Arizona pinyon pine","Pinus monophylla var. fallax",23,23,1,"-","-","-","X","X"
"95",144,"Honduras pine","Pinus elliottii var. elliottii",9,24,1,"-","-","-","-","X"
"96",200,"Douglas-fir spp.","Pseudotsuga spp.",9,10,2,"X","-","X","-","-"
"97",201,"bigcone Douglas-fir","Pseudotsuga macrocarpa",9,10,2,"-","-","X","-","-"
"98",202,"Douglas-fir","Pseudotsuga menziesii",9,10,2,"X","X","X","X","X"
"99",211,"redwood","Sequoia sempervirens",9,16,2,"-","-","X","-","-"
"100",212,"giant sequoia","Sequoiadendron giganteum",9,24,2,"-","-","X","-","-"
"101",220,"baldcypress spp.","Taxodium spp.",9,24,2,"X","X","-","-","X"
"102",221,"baldcypress","Taxodium distichum",8,24,2,"X","X","-","-","X"
"103",222,"pondcypress","Taxodium ascendens",8,24,2,"-","X","-","-","X"
"104",223,"Montezuma baldcypress","Taxodium mucronatum",8,24,2,"-","-","-","-","X"
"105",230,"yew spp.","Taxus spp.",9,24,2,"X","-","X","-","-"
"106",231,"Pacific yew","Taxus brevifolia",9,24,2,"-","-","X","X","-"
"107",232,"Florida yew","Taxus floridana",9,24,2,"-","-","-","-","X"
"108",240,"thuja spp.","Thuja spp.",9,24,2,"X","-","X","-","-"
"109",241,"northern white-cedar","Thuja occidentalis",9,24,2,"X","X","-","-","X"
"110",242,"western redcedar","Thuja plicata",9,22,2,"-","-","X","X","-"
"111",250,"torreya (nutmeg) spp.","Torreya spp.",9,24,2,"-","-","X","-","-"
"112",251,"California torreya (nutmeg)","Torreya californica",9,24,2,"-","-","X","-","-"
"113",252,"Florida torreya (nutmeg)","Torreya taxifolia",9,24,2,"-","-","-","-","X"
"114",260,"hemlock spp.","Tsuga spp.",7,24,2,"X","X","-","-","X"
"115",261,"eastern hemlock","Tsuga canadensis",7,24,2,"X","X","-","-","X"
"116",262,"Carolina hemlock","Tsuga caroliniana",7,24,2,"-","-","-","-","X"
"117",263,"western hemlock","Tsuga heterophylla",9,13,2,"-","-","X","X","-"
"118",264,"mountain hemlock","Tsuga mertensiana",9,24,2,"-","-","X","X","-"
"119",299,"Unknown dead conifer","Tree evergreen",9,24,2,"X","X","X","-","X"
"120",300,"acacia spp.","Acacia spp.",48,48,3,"-","-","X","-","-"
"121",303,"sweet acacia","Acacia farnesiana",48,48,3,"-","-","-","-","X"
"122",304,"catclaw acacia","Acacia greggii",48,48,3,"-","-","X","-","X"
"123",310,"maple spp.","Acer spp.",31,47,4,"X","X","-","-","X"
"124",311,"Florida maple","Acer barbatum",31,47,4,"-","-","-","-","X"
"125",312,"bigleaf maple","Acer macrophyllum",43,47,3,"-","-","X","-","X"
"126",313,"boxelder","Acer negundo",41,47,3,"X","X","X","X","X"
"127",314,"black maple","Acer nigrum",31,47,4,"X","X","-","-","X"
"128",315,"striped maple","Acer pensylvanicum",43,47,3,"X","X","-","-","X"
